Querylength,domain_token_count,path_token_count,avgdomaintokenlen,longdomaintokenlen,avgpathtokenlen,tld,charcompvowels,charcompace,ldl_url,ldl_domain,ldl_path,ldl_filename,ldl_getArg,dld_url,dld_domain,dld_path,dld_filename,dld_getArg,urlLen,domainlength,pathLength,subDirLen,fileNameLen,this.fileExtLen,ArgLen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,executable,isPortEighty,NumberofDotsinURL,ISIpAddressInDomainName,CharacterContinuityRate,LongestVariableValue,URL_DigitCount,host_DigitCount,Directory_DigitCount,File_name_DigitCount,Extension_DigitCount,Query_DigitCount,URL_Letter_Count,host_letter_count,Directory_LetterCount,Filename_LetterCount,Extension_LetterCount,Query_LetterCount,LongestPathTokenLength,Domain_LongestWordLength,Path_LongestWordLength,sub-Directory_LongestWordLength,Arguments_LongestWordLength,URL_sensitiveWord,URLQueries_variable,spcharUrl,delimeter_Domain,delimeter_path,delimeter_Count,NumberRate_URL,NumberRate_Domain,NumberRate_DirectoryName,NumberRate_FileName,NumberRate_Extension,NumberRate_AfterPath,SymbolCount_URL,SymbolCount_Domain,SymbolCount_Directoryname,SymbolCount_FileName,SymbolCount_Extension,SymbolCount_Afterpath,Entropy_URL,Entropy_Domain,Entropy_DirectoryName,Entropy_Filename,Entropy_Extension,Entropy_Afterpath,URL_Type_obf_Type
0,4,6,15.25,43,3.8333333,4,6,3,0,0,0,0,0,0,0,0,0,0,99,64,28,28,6,3,2,0.28282827,0.02020202,0.03125,0.64646465,0.4375,0.071428575,0,-1,4,-1,0.21875,-1,0,0,0,0,0,-1,84,57,14,6,3,-1,7,13,7,7,-1,0,0,5,4,1,-1,0,0,0,0,0,-1,9,3,3,1,0,-1,0.657122266,0.698571339,0.733541704,0.819382003,0.579380164,-1,1
0,2,7,5.5,8,10.571428,2,13,7,6,0,6,0,0,0,0,0,0,0,99,12,80,80,2,2,2,0.8080808,0.02020202,0.16666667,0.121212125,6.6666665,0.025,0,-1,1,-1,0.75,-1,11,0,9,0,2,-1,77,11,34,6,22,-1,26,8,6,6,-1,0,0,5,0,1,-1,0.111111111,0,0.166666667,0.076923077,NaN,-1,6,1,3,0,0,-1,0.820146326,0.907019018,0.876869033,0.934539676,0,-1,1
0,3,9,8,18,6.3333335,3,22,11,1,0,1,0,0,0,0,0,0,0,99,26,66,66,2,2,2,0.6666667,0.02020202,0.07692308,0.26262626,2.5384614,0.030303031,0,-1,6,-1,0.42307693,-1,3,0,3,0,0,-1,80,23,40,6,7,-1,11,10,11,11,-1,0,0,5,1,4,-1,0.03030303,0,0.051724138,0,NaN,-1,11,2,7,0,0,-1,0.657840885,0.807630313,0.718674965,0.898226518,0,-1,1
0,3,19,3.6666667,6,2.75,3,20,13,2,0,2,0,2,0,0,0,0,0,99,13,79,79,2,2,64,0.7979798,0.64646465,4.923077,0.13131313,6.076923,0.8101266,0,-1,7,-1,0.53846157,0,2,0,1,0,1,0,73,11,44,2,12,0,16,6,6,6,0,0,0,9,0,6,0,0.02020202,0,0.015873016,0.0625,NaN,0,20,2,14,2,0,4,0.684867772,0.776432235,0.687903409,0.9375,0,0.778747365,1
0,3,9,8,18,6.3333335,3,22,11,1,0,1,0,0,0,0,0,0,0,99,26,66,66,2,2,2,0.6666667,0.02020202,0.07692308,0.26262626,2.5384614,0.030303031,0,-1,6,-1,0.7307692,-1,3,0,3,0,0,-1,81,24,40,6,7,-1,11,18,11,11,-1,0,0,5,0,4,-1,0.03030303,0,0.051724138,0,NaN,-1,11,2,7,0,0,-1,0.652960132,0.768723254,0.718674965,0.898226518,0,-1,1
0,3,10,9.333333,22,5.3,3,19,12,0,0,0,0,0,0,0,0,0,0,99,30,62,62,26,3,2,0.6262626,0.02020202,0.06666667,0.3030303,2.0666666,0.032258064,0,-1,4,-1,0.76666665,-1,0,0,0,0,0,-1,85,28,33,17,3,-1,18,22,11,11,-1,0,0,6,0,3,-1,0,0,0,0,0,-1,11,2,4,3,2,-1,0.680322342,0.789278978,0.800785606,0.826707807,0.918456791,-1,1
0,3,19,4,6,2,3,19,13,2,0,2,0,2,0,0,0,0,0,99,14,78,78,2,2,68,0.7878788,0.68686867,4.857143,0.14141414,5.571429,0.8717949,0,-1,6,-1,0.5,0,2,0,1,0,1,0,72,12,39,2,15,0,20,6,7,7,0,0,0,10,0,5,0,0.02020202,0,0.017241379,0.05,NaN,0,20,2,13,3,0,4,0.688659973,0.774871827,0.680041184,0.875577667,0,0.778747365,1
0,3,18,6,12,3,3,20,14,2,0,2,0,2,0,0,0,0,0,99,20,72,72,2,2,63,0.72727275,0.6363636,3.15,0.2020202,3.6,0.875,0,-1,6,-1,0.4,0,2,0,1,0,1,0,74,17,39,2,12,0,15,7,8,8,0,0,0,9,1,5,0,0.02020202,0,0.01754386,0.066666667,NaN,0,17,2,12,1,0,4,0.672275081,0.76555993,0.677015821,0.931744527,0,0.778747365,1
6,3,19,4,6,2.5,3,19,13,2,0,2,0,2,0,0,0,0,0,99,14,78,78,2,2,64,0.7878788,0.64646465,4.571429,0.14141414,5.571429,0.82051283,0,-1,7,-1,0.5,6,2,0,2,0,0,1,73,12,50,2,5,4,17,6,6,6,0,0,1,9,0,6,2,0.02020202,0,0.02739726,0,NaN,0.029411765,20,2,16,0,0,6,0.680804321,0.835752348,0.708336058,1,0,0.832231467,1
0,3,9,5.6666665,12,7.111111,3,17,17,9,0,9,0,0,2,0,2,0,0,99,19,73,73,2,2,2,0.7373737,0.02020202,0.10526316,0.1919192,3.8421052,0.02739726,0,-1,4,-1,0.68421054,-1,16,0,16,0,0,-1,69,17,38,3,7,-1,32,12,8,8,-1,0,0,6,0,3,-1,0.161616162,0,0.296296296,0,0,-1,10,2,4,2,1,-1,0.721711558,0.83261466,0.768800476,0.803421891,0.842328277,-1,1
